product_name,price,unit,unit_price,image_name,integration_date,supermarket
BioTech USA proteinszelet,499,Ft,1kg=7129Ft,biotech-protein-bar-2004020298848-1-5k.png,2021-11-11 15:36:06.314898,tesco
Black+Decker sarokcsiszoló,8499,Ft,,black-decker-sarokcsiszolo-2004010053283-1-5k.png,2021-11-11 15:36:06.315618,tesco
Boci mikuláscsomag,999,Ft,1kg=6091Ft,minden-mikulas-edessegcsomag-20-kedvezmennyel-2004020279944-1-5k.png,2021-11-11 15:36:06.316618,tesco
Boci sütési étcsokoládé,349,Ft,1kg=1939Ft,boci-sutesi-etcsokolade-2004020322392-1-5k.png,2021-11-11 15:36:06.317615,tesco
Boci táblás csokoládé,259,Ft/db,,,2021-11-11 15:36:06.318641,tesco
Boldog Névnapot! muskotályos pezsgő,1049,Ft/db,,,2021-11-11 15:36:06.319676,tesco
Bolognai snack 95 g,97,Ft/db,1kg=1021.05Ft,bolognai-snack-95-g-2004020272344.png,2021-11-11 15:36:06.319676,tesco
"Bolyhos, lábbal hajtható játék jármű",4799,Ft,,labbal-hajthato-jarmu-2005100504797-1-5k.png,2021-11-11 15:36:06.321286,tesco
Bolyki Egri Csillag vagy Rosé,1299,Ft/db,1l=1732Ft,minden-bolyki-legalabb-20-kedvezmennyel-2004020262342-1-5k.png,2021-11-11 15:36:06.322283,tesco
Bonduelle zöldborsó- és csemegekukorica-konzerv,313,Ft/db,,,2021-11-11 15:36:06.323280,tesco
"Borsodi Meggy Ale, Gyömbér Ale, IPA vagy Hoppy dobozos sör",269,Ft/db,1l=538Ft,borsodi-ipa-vagy-hoppy-meggy-gyomberdobozos-sor-2004020297877-1-5k.png,2021-11-11 15:36:06.323280,tesco
Bosch autószerelő és autómosó állomás,5699,Ft/szett,,bosch-autoszerelo-es-automoso-allomas-2005100371264-1-5k.png,2021-11-11 15:36:06.323280,tesco
Bosch játék láncfűrész,4099,Ft,,bosch-jatek-lancfuresz-2005105206263-1-5k.png,2021-11-11 15:36:06.327690,tesco
Boxzsák,2799,Ft/szett,,box-zsak-2005100606919-1-5k.png,2021-11-11 15:36:06.328919,tesco
Brainbox Harry Potter társasjáték,4399,Ft,,brainbox-harry-potter-tarsasjatek-2005100620648-1-5k.png,2021-11-11 15:36:06.329947,tesco
Bref Pro Nature WC-frissítő blokk,1209,Ft/cs,1kg=8060Ft,bref-pro-nature-2004020257446-1-5k.png,2021-11-11 15:36:06.329947,tesco
Brunos illatmentes csomósodó macskaalom 10 l,749,Ft/db,1l=74.9Ft,brunos-illatmentes-csomosodo-macskaalom-10-l-2004020158174.png,2021-11-11 15:36:06.330948,tesco
Brunos pástétom marhával teljes értékű állateledel felnőtt kutyák számára 300 g,199,Ft/db,1kg=663.33Ft,brunos-pastetom-marhaval-teljes-erteku-allateledel-felnott-kutyak-szamara-300-g-2005100501130.png,2021-11-11 15:36:06.330948,tesco
"Brunos teljes értékű állateledel felnőtt kutyák számára, falatok marhával szószban 1240 g",299,Ft/db,1kg=241.13Ft,brunos-teljes-erteku-allateledel-felnott-kutyak-szamara-falatok-marhaval-szoszban-1240-g-2005100429482.png,2021-11-11 15:36:06.333035,tesco
Brunos teljes értékű állateledel felnőtt macskák számára falatok hallal szószban 415 g,179,Ft/db,1kg=431.33Ft,brunos-teljes-erteku-allateledel-felnott-macskak-szamara-falatok-hallal-szoszban-415-g-2005100429178.png,2021-11-11 15:36:06.333035,tesco
Brunos teljes értékű állateledel felnőtt macskáknak falatok baromfival és marhával szószban 415 g,179,Ft/db,1kg=431.33Ft,brunos-teljes-erteku-allateledel-felnott-macskaknak-falatok-baromfival-es-marhaval-szoszban-415-g-2005100429180.png,2021-11-11 15:36:06.334066,tesco
Brunos teljes értékű száraz állateledel felnőtt kutyák számára marha és baromfi ízesítéssel 10 kg,2089,Ft/db,1kg=208.9Ft,brunos-teljes-erteku-szaraz-allateledel-felnott-kutyak-szamara-marha-es-baromfi-izesitessel-10-kg-2005100429419.png,2021-11-11 15:36:06.334066,tesco
Bűnügyi krónikák társasjáték,8699,Ft,,bunugyi-kronikak-tarsasjatek-2005100611683-1-5k.png,2021-11-11 15:36:06.334066,tesco
Burgonya piros vagy sárga,649,Ft/cs,1kg=216Ft,burgonya-piros-vagy-sarga-2004010779466-1-5k.png,2021-11-11 15:36:06.334066,tesco
Burn energiaital,199,Ft/db,1l=796Ft,burn-energiaital-0-25l-2004009893074-1-5k.png,2021-11-11 15:36:06.334066,tesco
